legacyId,name,description,mainImage,published,finishLegacyId,finishName,finishImage,price,costPrice,sourceVendor,sourceSku,sourceUrl,sourceProductId,sourcePriceRsd,inStock
europrofil-o04a0006458,ORN N 160 ruč.UZ-E82/760niklHS,Europrofil art. O04A0006458,https://www.europrofil.rs/upload/Product/Image/2018-12/compres/6458.webp,true,standard,Standard,https://www.europrofil.rs/upload/Product/Image/2018-12/compres/6458.webp,230,0,europrofil,O04A0006458,https://www.europrofil.rs/proizvod/orn-n-160-ru%C4%8Duz-e82760niklhs-6458,19942,230.00,false
europrofil-o04a0006468,ORN N 128 ruč.UZ-CAMAIsjaj GTV,Europrofil art. O04A0006468,https://www.europrofil.rs/upload/compres/1652776331.webp,true,sjaj,Sjaj,https://www.europrofil.rs/upload/compres/1652776331.webp,224,0,europrofil,O04A0006468,https://www.europrofil.rs/proizvod/orn-n-128-ru%C4%8Duz-camaisjaj-gtv-6468,19947,224.34,true
europrofil-o04a0006469,ORN N 128 ruč.UZ-CAMAI sat.GTV,Europrofil art. O04A0006469,https://www.europrofil.rs/upload/compres/1652869592.webp,true,standard,Standard,https://www.europrofil.rs/upload/compres/1652869592.webp,213,0,europrofil,O04A0006469,https://www.europrofil.rs/proizvod/orn-n-128-ru%C4%8Duz-camai-satgtv-6469,19948,213.22,true
europrofil-o04a0006470,ORN N 128 ruč.UZ-CAMAIbela GTV,Europrofil art. O04A0006470,https://www.europrofil.rs/upload/compres/1652870042.webp,true,bela,Bela,https://www.europrofil.rs/upload/compres/1652870042.webp,214,0,europrofil,O04A0006470,https://www.europrofil.rs/proizvod/orn-n-128-ru%C4%8Duz-camaibela-gtv-6470,19949,213.67,true
europrofil-o04a0006471,ORN N 128 ruč.UZ-CAMAIcrna sj.,Europrofil art. O04A0006471,https://www.europrofil.rs/upload/compres/1652870428.webp,true,crna,Crna,https://www.europrofil.rs/upload/compres/1652870428.webp,226,0,europrofil,O04A0006471,https://www.europrofil.rs/proizvod/orn-n-128-ru%C4%8Duz-camaicrna-sj-6471,19950,226.06,true
europrofil-o04a0006472,ORN N 128 ruč.UZ-CAMAIcrna GTV,Europrofil art. O04A0006472,https://www.europrofil.rs/upload/compres/1652870242.webp,true,crna,Crna,https://www.europrofil.rs/upload/compres/1652870242.webp,205,0,europrofil,O04A0006472,https://www.europrofil.rs/proizvod/orn-n-128-ru%C4%8Duz-camaicrna-gtv-6472,19951,205.00,true
europrofil-o04a0006473,ORN N 96 ruč.UZ-CAMAI sat.GTV,Europrofil art. O04A0006473,https://www.europrofil.rs/upload/compres/1649340357.webp,true,standard,Standard,https://www.europrofil.rs/upload/compres/1649340357.webp,153,0,europrofil,O04A0006473,https://www.europrofil.rs/proizvod/orn-n-96-ru%C4%8Duz-camai-satgtv-6473,19952,152.81,true
europrofil-o04a0006474,ORN N 96 ruč.UZ-CAMAIO bela GTV,Europrofil art. O04A0006474,https://www.europrofil.rs/upload/compres/1649340423.webp,true,bela,Bela,https://www.europrofil.rs/upload/compres/1649340423.webp,140,0,europrofil,O04A0006474,https://www.europrofil.rs/proizvod/orn-n-96-ru%C4%8Duz-camaio-bela-gtv-6474,19953,139.57,true
europrofil-o04a0006475,ORN N 96 ruč.UZ-CAMAIcrna sj.,Europrofil art. O04A0006475,https://www.europrofil.rs/upload/compres/1649340470.webp,true,crna,Crna,https://www.europrofil.rs/upload/compres/1649340470.webp,129,0,europrofil,O04A0006475,https://www.europrofil.rs/proizvod/orn-n-96-ru%C4%8Duz-camaicrna-sj-6475,19954,129.00,true
europrofil-o04a0006476,ORN N 96 ruč.UZ-CAMAIcrna GTV,Europrofil art. O04A0006476,https://www.europrofil.rs/upload/compres/1649340516.webp,true,crna,Crna,https://www.europrofil.rs/upload/compres/1649340516.webp,138,0,europrofil,O04A0006476,https://www.europrofil.rs/proizvod/orn-n-96-ru%C4%8Duz-camaicrna-gtv-6476,19955,138.30,true
europrofil-o04d0006616,ORN D ruč.drveno 11 natur,Europrofil art. O04D0006616,https://www.europrofil.rs/upload/compres/1681109881.webp,true,standard,Standard,https://www.europrofil.rs/upload/compres/1681109881.webp,60,0,europrofil,O04D0006616,https://www.europrofil.rs/proizvod/orn-d-ru%C4%8Ddrveno-11-natur-6616,20190,60.00,true
